Name,X-Coordinate,Y-Coordinate,Tag,Area (ha),Imperv. (%),공원녹지 X,
S01360TTTT,179152.172,551946.7,자족시설,0.09,85,FALSE,85
S01361TTTT,179182.172,551946.7,자족시설,0.09,85,FALSE,85
S01362TTTF,179208.641,551947.4,자족시설,0.068376,85,FALSE,85
S01363TFTT,179247.219,551945.938,자족시설,0.059298,85,FALSE,85
S01364TTTT,179272.172,551946.7,자족시설,0.09,85,FALSE,85
S01365TTFT,179302.172,551946.7,자족시설,0.09,85,FALSE,85
S01366TTFT,179332.172,551946.7,자족시설,0.09,85,FALSE,85
S01367TTFF,179358.719,551946.8,자족시설,0.040036,85,FALSE,85
S01368TTTT,179392.156,551946.7,공원,0.089917,15,TRUE,100
S01369TTTT,179411.3,551941.063,공원,0.017342,15,TRUE,100
S01438TTTT,178505.234,551925.1,녹지,0.005697,0,TRUE,100
S01439TTTF,178517.547,551916.6,녹지,0.059058,0,TRUE,100
S01440TFTT,178556.938,551917.5,공원,0.060841,15,TRUE,100
S01441TTTT,178582.172,551916.7,공원,0.09,15,TRUE,100
S01442TTTT,178612.172,551916.7,자족시설,0.09,85,FALSE,85
S01443TTTF,178633.563,551917.938,자족시설,0.037504,85,FALSE,85
S01444FFTT,178674.813,551915.938,자족복합용지,0.073636,85,FALSE,85
S01445FTTT,178701.8,551916.063,자족복합용지,0.086161,85,FALSE,85
S01446FTTT,178731.484,551913.2,자족복합용지,0.068466,85,FALSE,85
S01447FTTT,178761.359,551910.25,자족복합용지,0.050056,85,FALSE,85
S01448FTTF,178792.2,551913.938,자족복합용지,0.044847,85,FALSE,85
S01449TFFT,178822.2,551920.3,자족시설,0.045316,85,FALSE,85
S01450TTFT,178853.063,551922.7,자족시설,0.05323,85,FALSE,85
S01451TTFF,178880.016,551920.438,자족시설,0.058079,85,FALSE,85
S01452TFTT,178917.563,551915.9,상업시설,0.057148,100,FALSE,100
S01453TTTT,178942.172,551916.7,상업시설,0.09,100,FALSE,100
S01454TTTT,178972.172,551916.7,상업시설,0.09,100,FALSE,100
S01455FTTT,179001.719,551915.9,상업시설,0.084717,100,FALSE,100
S01456FTTF,179028.688,551913.25,상업시설,0.054422,100,FALSE,100
S01458FFTT,179095.891,551905.938,자족시설,0.018079,85,FALSE,85
S01459FTTF,179122.281,551914.1,자족시설,0.016892,85,FALSE,85
S01460TFFT,179154.125,551926.7,자족시설,0.02847,85,FALSE,85
S01461TTFT,179183.281,551923.1,자족시설,0.050783,85,FALSE,85
S01462TTFF,179205.984,551921,자족시설,0.038534,85,FALSE,85
S01463TFFT,179244.453,551916.25,자족시설,0.076027,85,FALSE,85
S01464TTTF,179272.172,551916.7,자족시설,0.09,85,FALSE,85
S01468TFTT,179392.375,551916.8,공원,0.088802,15,TRUE,100
S01469TTTT,179416.281,551915.3,공원,0.053279,15,TRUE,100
S01539TTTF,178522.4,551885.8,녹지,0.071492,0,TRUE,100
S01540TFFT,178559,551889.2,자족시설,0.034645,85,FALSE,85
